,MJD,V,E_V,CHI2,FILENAME,SNR,EXPTIME,AIRMASS,WAVE_CAL,BARYCOR,RVEPOCH,ACCEPT,MASK
0,58266.45219149313,-3324430.786,43.38,379.836,217014_180528.1133.fits,183,420.003,1.36705992203305,LFC,chromatic,1,True,ESPRESSO_G2.fits
1,58266.45743221762,-3324236.35,43.859,360.927,217014_180528.1134.fits,180,420.003,1.33386165999945,LFC,chromatic,1,True,ESPRESSO_G2.fits
2,58266.46277203615,-3324278.747,44.188,358.347,217014_180528.1135.fits,179,420.002,1.3757254532181,LFC,chromatic,1,True,ESPRESSO_G2.fits
3,58267.45501395177,-3321486.116,46.024,345.648,217014_180529.1088.fits,173,420.003,1.3329603174608,LFC,chromatic,1,True,ESPRESSO_G2.fits
4,58267.46027481951,-3321440.933,43.865,386.533,217014_180529.1089.fits,181,420.003,1.3024263319006,LFC,chromatic,1,True,ESPRESSO_G2.fits
5,58271.45750323549,-3320212.185,56.539,227.22,217014_180602.1082.fits,138,420.003,1.2613339850653,LFC,chromatic,1,True,ESPRESSO_G2.fits
6,58271.46279617393,-3320238.025,56.606,231.959,217014_180602.1083.fits,139,420.003,1.2366329551384,LFC,chromatic,1,True,ESPRESSO_G2.fits
7,58274.44933364157,-3328131.198,67.561,163.407,217014_180605.1084.fits,122,420.003,1.2625307313272,LFC,chromatic,1,True,ESPRESSO_G2.fits
8,58274.45459536872,-3328229.138,71.25,152.82,217014_180605.1085.fits,116,420.002,1.23753126556475,LFC,chromatic,1,True,ESPRESSO_G2.fits
9,58274.45981294575,-3328090.695,74.477,141.245,217014_180605.1086.fits,110,420.002,1.21446758289015,LFC,chromatic,1,True,ESPRESSO_G2.fits
10,58276.46036859987,-3323208.658,68.185,161.713,217014_180607.1083.fits,119,420.003,1.19139729742535,LFC,chromatic,1,True,ESPRESSO_G2.fits
11,58277.44692597266,-3330468.367,71.736,152.908,217014_180608.1076.fits,114,420.002,1.2365226035689,LFC,chromatic,1,True,ESPRESSO_G2.fits
12,58277.45210751064,-3330386.567,73.37,151.9,217014_180608.1077.fits,113,420.003,1.21349419911145,LFC,chromatic,1,True,ESPRESSO_G2.fits
13,58277.45749083035,-3330580.757,76.687,133.94,217014_180608.1078.fits,108,420.002,1.19228363893195,LFC,chromatic,1,True,ESPRESSO_G2.fits
14,58293.41843333849,-3323739.45,50.91,291.381,217014_180624.1181.fits,158,420.004,1.18017647235725,LFC,chromatic,2,True,ESPRESSO_G2.fits
15,58293.43407271765,-3323925.863,47.801,326.803,217014_180624.1186.fits,166,420.003,1.1292854348394,LFC,chromatic,2,True,ESPRESSO_G2.fits
16,58294.44930475593,-3330889.88,42.427,440.235,217014_180625.1190.fits,186,420.004,1.08617734300415,LFC,chromatic,2,True,ESPRESSO_G2.fits
17,58294.45475701033,-3331045.932,39.766,505.38,217014_180625.1191.fits,202,420.002,1.0760320161255,LFC,chromatic,2,True,ESPRESSO_G2.fits
18,58295.4377728883,-3329732.489,45.065,379.605,217014_180626.1153.fits,177,420.002,1.1061955688158,LFC,chromatic,2,True,ESPRESSO_G2.fits
19,58295.44306606997,-3329588.412,48.871,327.334,217014_180626.1154.fits,164,420.004,1.09404897499705,LFC,chromatic,2,True,ESPRESSO_G2.fits
20,58295.44815896418,-3329533.211,47.441,350.771,217014_180626.1155.fits,168,420.002,1.0830782658765,LFC,chromatic,2,True,ESPRESSO_G2.fits
21,58295.45780345455,-3329254.144,48.919,332.684,217014_180626.1158.fits,164,420.003,1.06646077280455,LFC,chromatic,2,True,ESPRESSO_G2.fits
22,58295.46274257948,-3329230.201,51.884,299.935,217014_180626.1159.fits,155,420.003,1.05852253439225,LFC,chromatic,2,True,ESPRESSO_G2.fits
23,58299.44679891937,-3330830.11,49.219,317.656,217014_180630.1218.fits,164,420.002,1.0673036548362,LFC,chromatic,2,True,ESPRESSO_G2.fits
24,58299.45164784716,-3330843.851,48.498,332.738,217014_180630.1219.fits,166,420.003,1.0591607767627,LFC,chromatic,2,True,ESPRESSO_G2.fits
25,58299.457179845,-3330813.613,50.451,300.421,217014_180630.1220.fits,161,420.003,1.05207980301405,LFC,chromatic,2,True,ESPRESSO_G2.fits
26,58299.46234120443,-3330908.35,52.632,283.129,217014_180630.1221.fits,154,420.003,1.04603317937045,LFC,chromatic,2,True,ESPRESSO_G2.fits
27,58300.45344694452,-3323648.763,43.792,392.552,217014_180701.1181.fits,182,420.002,1.05331060996965,LFC,chromatic,2,True,ESPRESSO_G2.fits
28,58300.45872322084,-3323505.323,37.163,535.253,217014_180701.1182.fits,213,420.002,1.047083093917,LFC,chromatic,2,True,ESPRESSO_G2.fits
29,58300.46397470766,-3323292.145,44.173,393.602,217014_180701.1183.fits,181,420.003,1.04181683309,LFC,chromatic,2,True,ESPRESSO_G2.fits
30,58302.45677032018,-3328559.901,36.653,563.252,217014_180703.1173.fits,216,420.003,1.0436807539567,LFC,chromatic,2,True,ESPRESSO_G2.fits
31,58302.462103039,-3328578.663,35.709,598.201,217014_180703.1174.fits,220,420.002,1.03902292142425,LFC,chromatic,2,True,ESPRESSO_G2.fits
32,58302.46740076623,-3328691.738,35.644,591.4,217014_180703.1175.fits,221,420.003,1.0353048341316,LFC,chromatic,2,True,ESPRESSO_G2.fits
33,58303.45108493011,-3331536.432,32.831,698.859,217014_180704.1167.fits,238,420.002,1.0468004963041,ThAr,chromatic,2,True,ESPRESSO_G2.fits
34,58303.45639765931,-3331538.564,31.331,778.883,217014_180704.1168.fits,249,420.003,1.04158326911995,ThAr,chromatic,2,True,ESPRESSO_G2.fits
35,58304.44782139274,-3325485.167,34.31,649.342,217014_180705.1208.fits,230,420.003,1.04745632771085,LFC,chromatic,2,True,ESPRESSO_G2.fits
36,58304.4522466693,-3326343.503,64.374,188.141,217014_180705.1209.fits,129,420.003,1.04212890236345,LFC,chromatic,2,True,ESPRESSO_G2.fits
37,58305.46546130792,-3321764.354,29.786,854.367,217014_180706.1185.fits,264,420.003,1.0322644174916,LFC,chromatic,2,True,ESPRESSO_G2.fits
38,58305.47427204852,-3321595.455,30.751,769.916,217014_180706.1187.fits,257,420.003,1.0298283905374,LFC,chromatic,2,True,ESPRESSO_G2.fits
39,58306.44590527244,-3326473.496,31.205,792.216,217014_180707.1178.fits,253,420.002,1.04395302663215,LFC,chromatic,2,True,ESPRESSO_G2.fits
40,58306.4511954893,-3326402.777,31.523,778.4,217014_180707.1179.fits,250,420.003,1.03926957357415,LFC,chromatic,2,True,ESPRESSO_G2.fits
41,58306.45650764412,-3326387.718,29.464,867.318,217014_180707.1180.fits,266,420.004,1.0355015858575,LFC,chromatic,2,True,ESPRESSO_G2.fits
42,58307.3885384238,-3331623.891,62.589,199.61,217014_180708.1175.fits,133,420.003,1.15371362668445,LFC,chromatic,2,True,ESPRESSO_G2.fits
43,58307.39464615555,-3331851.01,41.201,459.624,217014_180708.1176.fits,193,420.003,1.13724655539365,LFC,chromatic,2,True,ESPRESSO_G2.fits
44,58307.39967655065,-3332021.373,31.779,757.179,217014_180708.1177.fits,247,420.003,1.12219240051645,LFC,chromatic,2,True,ESPRESSO_G2.fits
45,58307.45647804274,-3331940.876,30.66,832.814,217014_180708.1191.fits,256,420.003,1.03405298558225,LFC,chromatic,2,True,ESPRESSO_G2.fits
46,58307.46153630383,-3331906.28,30.908,831.156,217014_180708.1192.fits,254,420.003,1.0316521495417,LFC,chromatic,2,True,ESPRESSO_G2.fits
47,58307.46700215428,-3331740.313,28.405,969.014,217014_180708.1193.fits,275,420.003,1.0301508462185,LFC,chromatic,2,True,ESPRESSO_G2.fits
48,58436.11321300385,-3321859.969,50.544,261.088,217014_181114.1061.fits,164,420.002,1.03073571906545,ThAr,chromatic,3,True,ESPRESSO_G2.fits
49,58436.11858061898,-3322120.936,58.758,204.414,217014_181114.1062.fits,143,420.004,1.02978307648165,ThAr,chromatic,3,True,ESPRESSO_G2.fits
50,58436.1301760984,-3322002.01,46.501,328.629,217014_181114.1064.fits,178,420.003,1.03074096036845,ThAr,chromatic,3,True,ESPRESSO_G2.fits
51,58437.1418640538,-3322271.125,39.751,510.353,217014_181115.1104.fits,200,420.003,1.03820002916175,LFC,chromatic,3,True,ESPRESSO_G2.fits
52,58437.14718340006,-3322427.579,38.987,465.285,217014_181115.1105.fits,202,420.003,1.042615688213,LFC,chromatic,3,True,ESPRESSO_G2.fits
53,58437.15247194781,-3322400.958,35.404,671.909,217014_181115.1106.fits,221,420.002,1.048058201321,LFC,chromatic,3,True,ESPRESSO_G2.fits
54,58438.18739442854,-3329955.144,34.47,665.065,217014_181116.1090.fits,213,420.003,1.11692726262935,LFC,chromatic,3,True,ESPRESSO_G2.fits
55,58438.19281449138,-3330033.35,35.975,595.582,217014_181116.1091.fits,206,420.003,1.13136602796655,LFC,chromatic,3,True,ESPRESSO_G2.fits
56,58438.19798848737,-3330027.132,37.713,533.106,217014_181116.1092.fits,198,420.002,1.1472827615088,LFC,chromatic,3,True,ESPRESSO_G2.fits
57,58440.18392315759,-3322019.126,53.821,258.355,217014_181118.1203.fits,153,420.003,1.12351337712145,LFC,chromatic,3,True,ESPRESSO_G2.fits
58,58440.18975690829,-3322161.776,24.127,1248.247,217014_181118.1204.fits,329,420.004,1.1386784506397,LFC,chromatic,3,True,ESPRESSO_G2.fits
59,58440.19497857879,-3322301.171,23.754,1275.836,217014_181118.1205.fits,335,420.002,1.15515765547355,LFC,chromatic,3,True,ESPRESSO_G2.fits
60,58440.20030693046,-3322303.603,23.57,1311.744,217014_181118.1206.fits,338,420.003,1.17336903232135,LFC,chromatic,3,True,ESPRESSO_G2.fits
61,58472.04762658687,-3330205.874,38.233,526.739,217014_181220.1080.fits,211,420.002,1.04168819678095,LFC,chromatic,3,True,ESPRESSO_G2.fits
62,58472.05288190203,-3330255.306,37.215,556.904,217014_181220.1081.fits,217,420.003,1.04683647491525,LFC,chromatic,3,True,ESPRESSO_G2.fits
63,58472.05812299047,-3330386.746,34.282,657.707,217014_181220.1082.fits,237,420.002,1.0529753361934,LFC,chromatic,3,True,ESPRESSO_G2.fits
64,58639.45844209671,-3320697.515,20.175,1840.918,217014_190605.1077.fits,385,840.003,1.22455670911915,LFC,chromatic,4,True,ESPRESSO_G2.fits
65,58641.4517488348,-3331424.715,44.102,397.91,217014_190607.1100.fits,179,420.003,1.2276935423758,LFC,chromatic,4,True,ESPRESSO_G2.fits
66,58641.45777296217,-3331635.887,57.963,236.474,217014_190607.1101.fits,140,420.003,1.205509202286,LFC,chromatic,4,True,ESPRESSO_G2.fits
67,58643.4621803581,-3321644.866,34.912,591.236,217014_190609.1082.fits,225,430.003,1.16830421792655,LFC,chromatic,4,True,ESPRESSO_G2.fits
68,58644.46095886025,-3322776.085,35.396,612.389,217014_190610.1041.fits,233,428.806,1.16417342122445,LFC,chromatic,4,True,ESPRESSO_G2.fits
69,58646.45596960049,-3330577.901,39.023,505.101,217014_190612.1109.fits,203,430.003,1.16227551800785,LFC,chromatic,4,True,ESPRESSO_G2.fits
70,58646.46128596306,-3330441.417,38.561,518.531,217014_190612.1110.fits,204,430.002,1.0798162685132,LFC,chromatic,4,True,ESPRESSO_G2.fits
